,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159
0,-1.1513784,0.32377243,0.53092533,0.638346,0.89573914,0.6666239,0.524236,1.0342624,-0.8759173,-0.4116408,1.0295818,-0.07902288,0.93094313,-0.7471253,0.7342297,0.3642473,-0.14313933,-0.5601502,0.262992,-0.2679239,-1.0817213,-0.29620546,-0.09816751,-1.7744538,-0.13647181,-0.8957787,-1.4801313,-0.7339879,-0.93710107,-0.700151,-0.84722656,-1.485431,-1.2510124,-1.4911301,-1.4533068,-1.6585541,-0.5265589,-1.2563375,-1.4043889,-1.3884287,0.61162525,1.9343368,-0.9350691,0.11792508,-0.55505943,-0.9001427,-1.3310008,-0.8528926,1.2190006,-0.98370576,-1.4788048,-0.02973326,0.06337589,-0.27338636,-0.9269712,-1.6176039,0.17301627,-0.8125378,-0.9552311,-1.5243286,0.48652214,-0.98556066,-1.6459012,-0.1795475,-1.2136433,-1.378185,0.10475173,-1.26634,-1.1406207,-1.3677584,-1.146454,-0.81875557,-0.8985844,-0.978988,-0.6039694,-0.9254886,-1.3044676,-1.0220015,-0.48064432,-1.4791323,1.1687992,1.1687992,1.1687992,1.1687992,1.1687992,-0.64923155,-0.69945717,-0.880298,-0.6605239,-0.67668486,-0.27157858,0.008442231,0.543204,-0.46516272,-0.75102097,-0.37592006,-0.887188,-0.43524164,-0.69443667,-0.8725779,-0.41801164,-0.40142828,-0.7118121,-0.2765195,-0.07584382,-0.21335596,0.036080547,0.17022988,-0.44021803,-0.30629304,-0.3989829,-0.79986364,-0.22357067,-0.045557596,0.2260394,0.51784027,0.51784027,0.51784027,0.51784027,0.51784027,1.4566741,1.4566741,1.4566741,1.4566741,1.4566741,2.1555824,-1.3711096,0.7025171,-0.30987817,-1.4196817,-0.7953867,-0.1390007,-0.18801251,-0.66316533,-0.2120718,-0.26133022,-0.46792918,-1.0160584,-0.78256935,-0.82009405,-0.6511246,-0.784192,-0.8539495,-1.322514,-1.1035739,-1.2522312,-1.1284858,-1.0322635,-1.2285206,-1.3336859,-1.3742187,-1.2413458,-1.3525621,-1.2743207,-1.2567056,-1.3509812,-1.3509812,-1.3509812,-1.3509812,-1.3509812
1,-1.0572792,0.37249082,0.21353787,1.1752282,1.0056354,0.5795856,0.891717,0.6493811,-1.0146154,0.05511458,1.0395687,0.13553149,0.723146,-0.53373456,0.4918996,0.29678804,-0.29887778,-0.21983843,0.06384701,0.20015189,-1.0054425,-0.41519424,-0.08327282,-1.7464494,0.14690825,-1.1350092,-1.4905193,-0.29947868,-0.9909336,-0.6251737,-0.64190394,-1.6697308,-1.0604627,-1.6236191,-1.3670832,-1.1774114,-0.58254606,-1.7762628,-1.3097472,-1.719898,0.54522985,1.1916462,-1.1237488,-0.33554232,-0.6128958,-1.4226047,-1.2568024,-0.93314195,1.3357965,-1.0978823,-1.1463552,-0.2482555,-0.10839897,-0.34026697,-0.7295151,-0.99729764,0.26707712,-0.90129274,-0.55203193,-1.2132529,0.85687953,-0.9958836,-1.4445214,-0.063475095,-1.4045756,-1.1040598,0.4174472,-1.3099461,-0.96008706,-1.125072,-0.9132196,-0.6971297,-1.1464337,-0.8052391,-0.4625987,-0.9920565,-1.4439459,-0.603806,-0.8461513,-0.83392453,1.0598112,1.0598112,1.0598112,1.0598112,1.0598112,-0.61263555,-0.6343871,-1.1321901,-0.7252501,-0.619004,-0.41667482,0.10728206,0.28933004,-0.6993117,-0.82950145,-0.23403737,-0.6393858,-0.36431253,-0.53799427,-0.8417506,-0.3661788,-0.58440405,-0.8002175,-0.36521977,-0.007815222,-0.11095797,0.11160875,0.114399135,-0.4576503,-0.296753,-0.51678,-0.8048711,-0.11146385,-0.25155994,0.08257023,0.34350982,0.34350982,0.34350982,0.34350982,0.34350982,1.2501911,1.2501911,1.2501911,1.2501911,1.2501911,2.0475194,-1.0428888,0.5352194,-0.1442578,-1.4705739,-0.84914136,-0.053168315,-0.19401579,-0.6531158,-0.14997077,-0.27299392,-0.5321796,-1.0282264,-0.81433994,-0.7907615,-0.7664479,-0.9074959,-1.0219548,-1.2699445,-1.0151652,-1.152975,-1.1460805,-1.0632733,-1.329321,-1.221175,-1.383447,-1.1494358,-1.1875633,-1.207666,-1.3692241,-1.2784599,-1.2784599,-1.2784599,-1.2784599,-1.2784599
2,-1.0563169,0.58881825,0.47357145,0.7187937,0.63265824,0.7223985,0.72529477,0.5758532,-0.7289131,-0.6916862,1.0928195,0.061268188,1.0038788,-0.7616014,0.1612757,0.49276865,-0.32586557,-0.98602974,0.6189553,0.077839926,-0.89132214,-0.6037662,0.011822756,-1.3933531,-0.0037267718,-0.72047347,-1.1319052,-0.948299,-0.9607614,-0.8989344,-0.7444368,-1.5342758,-1.0105715,-1.3900925,-1.223719,-1.8556474,-0.5411399,-1.7932868,-1.4128258,-1.7547672,0.821065,1.6741834,-0.9402113,-0.43748719,-0.5661554,-0.7885005,-1.5262104,-0.53796273,1.2274462,-0.5891401,-0.811601,-0.7734321,0.20625158,-0.84419477,-0.64911366,-1.2212076,-0.37287542,-0.5725932,-1.3836616,-1.2541503,0.44428566,-0.9708415,-1.5301553,-0.67797846,-1.237561,-1.2061182,-0.29133278,-1.0472143,-1.0130702,-0.98503053,-1.3723401,-1.1781634,-1.0319871,-1.0403417,-0.75112224,-1.0846306,-1.4398289,-0.6156784,-0.72559536,-1.0765117,1.0314757,1.0314757,1.0314757,1.0314757,1.0314757,-0.85202163,-0.6767138,-0.81864333,-0.46711683,-0.65503037,-0.40755346,0.17136282,0.36017108,-0.673703,-0.85658693,-0.24875304,-0.6056811,-0.2035005,-0.39659587,-0.70000994,-0.18100637,-0.25660616,-0.75527203,-0.37941414,-0.11673739,-0.30108327,-0.22637539,-0.14579001,-0.52190363,-0.3320916,-0.28250498,-0.6057097,-0.1569353,-0.24580473,-0.084488705,0.124175996,0.124175996,0.124175996,0.124175996,0.124175996,1.5676827,1.5676827,1.5676827,1.5676827,1.5676827,2.1048796,-0.6379773,-0.07319301,0.036659934,-0.8160676,-0.74107426,0.07230772,-0.09442658,-0.7120041,-0.09825813,-0.20977849,-0.39098424,-0.8748002,-0.7880056,-0.9179265,-0.83502066,-0.84544224,-0.9831753,-1.3011602,-1.2001247,-1.0489489,-1.2432004,-1.2257769,-1.190783,-1.216598,-1.1733497,-1.2510039,-1.4169816,-1.2363118,-1.2119384,-1.3452356,-1.3452356,-1.3452356,-1.3452356,-1.3452356
3,-0.97537106,0.46335056,0.64236176,0.6257767,0.8302352,1.0271068,0.8315935,0.18792838,-0.744877,-0.5674968,1.1210655,0.44642445,0.611452,-0.58513725,0.42644045,0.7624694,-0.27347764,-0.6201992,0.5635752,-0.17030622,-0.7432933,-0.84150565,0.20687217,-1.1570836,-0.31798378,-1.0219318,-1.190212,-0.7972327,-0.8380686,-0.6257863,-1.0335699,-1.5267209,-1.2727711,-1.7903047,-1.3545973,-1.5725267,-0.46615955,-1.4967821,-1.361566,-2.314989,0.47617137,1.0525395,-1.2222847,-0.18258907,-0.68803865,-1.4122435,-1.9875726,0.006620874,0.3757782,-0.913532,-1.1836972,-0.91540885,-0.88238287,-0.7149815,-0.7499444,-0.8144587,0.31690738,-0.8480962,-1.5169717,-0.6844382,-0.07214626,-0.8497072,-1.7471955,-0.6648946,-1.0382525,-1.1321672,0.30398116,-0.9953182,-0.58533573,-1.3427615,-0.6923434,-0.933693,-0.44677082,-0.8192664,-0.88473684,-1.2065648,-1.3015662,-1.0608528,-0.4755091,-0.53160304,0.9427412,0.9427412,0.9427412,0.9427412,0.9427412,-0.8585401,-0.8437172,-0.808285,-0.72877395,-0.7681786,-0.21685043,0.57892704,0.47112486,-0.5234412,-0.80475783,-0.4016583,-0.55714214,-0.5261245,-0.63024,-0.78331023,-0.29719546,-0.4693424,-0.7934563,-0.33876383,-0.13570724,-0.12823176,-0.2838713,-0.10363634,-0.42532,-0.4983008,-0.606507,-0.8076992,-0.21125926,-0.053745117,0.3436712,0.2063305,0.2063305,0.2063305,0.2063305,0.2063305,1.0451629,1.0451629,1.0451629,1.0451629,1.0451629,1.6772057,-0.3872558,0.28212577,-0.4426343,-1.3247955,-0.797744,0.21704006,-0.51286995,-0.8634413,-0.5011954,-0.44514686,-0.7095421,-0.6609266,-0.8047216,-0.9305963,-1.0379436,-1.053809,-0.8696753,-1.1867115,-1.0959461,-1.0359716,-1.1750127,-1.1680626,-1.0512393,-1.1467834,-0.9486273,-1.1089278,-1.0799966,-1.3071848,-1.1858195,-1.2638994,-1.2638994,-1.2638994,-1.2638994,-1.2638994
4,-1.3626727,0.7732671,0.68357646,0.9783323,0.9168546,0.8843594,0.54335773,0.9133028,-0.54981023,-0.83874387,1.0342939,-0.023820411,0.5473859,-0.6099362,0.44960475,0.5567272,-0.6522094,-0.14447871,0.16961935,-0.36928123,-0.7595364,-0.5451833,-0.2845139,-1.5469279,-0.15908645,-1.0913804,-1.5384878,-0.3141073,-1.2218878,-0.6058256,-0.79320776,-1.2383846,-0.91106683,-1.6537778,-0.78474253,-1.1415367,-0.8439292,-1.2580537,-1.5889152,-2.0076923,0.31683365,1.3534858,-0.8363152,0.10245008,-0.33739492,-1.3682799,-0.7855659,-1.5428952,0.1788321,-0.82886374,-0.34657702,-0.41610065,-0.7449225,-0.4421418,-1.23474,-0.96443653,0.85652715,-0.71642905,-1.4866413,-0.48884967,-0.13306536,-0.5918752,-0.98075294,-0.6633728,-1.5369382,-1.230258,-0.18375517,-1.1133217,-0.3413491,-1.0802778,-1.1037658,-1.2194675,-1.2232342,-0.80206025,-1.217321,-1.0232998,-1.281037,-1.2723271,-0.6591183,-0.5587826,1.3355097,1.3355097,1.3355097,1.3355097,1.3355097,-1.0952682,-0.9840528,-1.1549693,-0.9008341,-0.8678961,-0.4097282,0.031937145,0.3088319,-0.17540368,-0.68823063,-0.30145538,-0.59986246,-0.41952348,-0.655636,-0.85364735,-0.3030258,-0.5938396,-0.7388372,-0.18469891,-0.15494427,-0.070731334,0.092633426,0.22036555,-0.17344648,-0.1700777,-0.12843974,-0.4803968,0.016804114,-0.11985222,-0.053146753,-0.131204,-0.131204,-0.131204,-0.131204,-0.131204,0.9330847,0.9330847,0.9330847,0.9330847,0.9330847,1.9464028,0.06530547,1.0027442,-0.052267976,-1.2744844,-0.5278489,0.023421075,-0.21444865,-0.6228267,-0.2793974,-0.7332325,-0.6756136,-0.8422063,-0.8396298,-0.85762346,-0.7870535,-1.0106341,-1.0331556,-1.170873,-1.1778785,-1.2027038,-1.1757122,-1.1940272,-1.3032298,-1.2378143,-1.2578037,-1.336352,-1.3315365,-1.3238484,-1.424478,-1.2688895,-1.2688895,-1.2688895,-1.2688895,-1.2688895
5,-1.2315146,1.0779486,0.5763425,0.45086437,1.0929964,0.7205928,0.30459872,0.72849625,-0.3137858,-0.85371387,1.1304275,0.10488549,0.3639813,-0.70152634,0.08901976,0.37933525,-0.4598542,-0.601862,0.37589595,-0.3325195,-0.7440557,-0.65661895,-0.17950772,-1.5817024,-0.18322921,-1.0879418,-1.2363422,-0.6762775,-1.0643599,-0.60806066,-1.1917222,-1.6226852,-1.3629646,-2.0459745,-1.4765007,-1.3939815,-0.9643777,-1.9534352,-1.691028,-2.676548,-0.1903367,1.8323774,-0.8621381,-0.27771056,-0.40811694,-1.7374296,-0.86014867,-1.7446948,-0.26588595,-0.55947626,-1.2558569,-0.37252086,-0.7725892,-0.48855516,-1.2800987,-0.6214405,0.8323652,-0.62394464,-1.8927374,-0.79972,-0.055790663,-0.56991905,-0.98517525,-0.544658,-1.4513346,-1.3821247,-0.681792,-1.3293061,-0.8627463,-1.2343954,-0.8566837,-1.0745422,-0.8304845,-0.89008904,-0.7671986,-1.4639966,-1.3297434,-0.7651225,-0.7192431,-0.06926642,1.168531,1.168531,1.168531,1.168531,1.168531,-1.1814134,-0.7198457,-0.7910196,-0.8826547,-0.69940114,-0.42083368,-0.18988155,0.049821075,-0.44381863,-0.76531583,-0.22545649,-0.37790534,-0.25098947,-0.42971906,-0.7717893,-0.30257407,-0.49049276,-0.73251504,-0.23700029,-0.12953775,-0.041666333,-0.08065726,-0.027823124,-0.5531252,-0.62732863,-0.74906224,-0.8176354,-0.27001587,-0.29209557,0.14298679,-0.026565868,-0.026565868,-0.026565868,-0.026565868,-0.026565868,0.65501904,0.65501904,0.65501904,0.65501904,0.65501904,2.2342906,0.037054844,0.4914345,-0.04490332,-1.5377063,-0.8294243,-0.3061669,-0.36115357,-0.56665283,-0.27159634,-0.6833366,-0.9184679,-0.9126886,-0.8142819,-0.690923,-0.7795586,-1.0177491,-1.1011344,-1.1386915,-1.3534698,-1.2326368,-1.1449888,-1.1883421,-1.2281568,-1.2895925,-1.3173221,-1.2742559,-1.2306336,-1.1292902,-1.2345086,-1.4061877,-1.4061877,-1.4061877,-1.4061877,-1.4061877
6,-1.0913515,0.9677459,0.472484,0.72126156,0.5933882,1.06426,0.71494806,0.6181757,-0.46088848,-0.8049358,1.3398405,0.36996546,0.64203197,-0.8820234,1.0311923,0.2854488,-0.90434563,-0.7349338,0.53440857,-0.3005976,-1.1880921,-0.62152976,-0.19499855,-1.1997052,-0.33016983,-0.9127751,-1.7082577,-0.40858915,-1.5458087,-0.6977311,-1.2827091,-1.3375589,-1.0862169,-1.8274647,-1.7595376,-1.8155252,-0.9766629,-1.4958591,-2.0221813,-1.9865063,1.0389717,2.2027035,-0.18282032,-0.048584726,-0.27379692,-0.5512013,-1.7585477,-0.5720497,0.47287658,-0.35354933,-0.1884371,-0.6920712,-0.7935347,0.05503595,-1.5872496,-1.2076699,0.65480745,-0.8852621,-1.737074,-0.3517778,0.4425338,-0.9295925,-1.3993713,-0.8489446,-0.8295841,-1.1973699,0.04739228,-1.2421554,-0.23999648,-1.4020102,-0.9032382,-0.9322772,-0.98469794,-0.6063529,-0.25336865,-0.86333126,-0.86375827,-1.0498915,-0.043168344,-0.8246398,1.0426693,1.0426693,1.0426693,1.0426693,1.0426693,-1.0688376,-0.6191407,-0.73237395,-0.59353733,-0.95211124,-0.22281528,0.14606747,-0.004348646,-0.7896307,-1.1089706,-0.5256947,-0.77833366,-0.5068803,-0.77287394,-0.49832723,-0.060204316,-0.35018605,-0.8201383,-0.12704033,-0.13824125,-0.27983743,-0.31098092,-0.1222261,-0.31102163,-0.33758295,-0.46935776,-0.9345417,-0.20760903,-0.26355708,-0.07253867,-0.034077793,-0.034077793,-0.034077793,-0.034077793,-0.034077793,1.4652007,1.4652007,1.4652007,1.4652007,1.4652007,1.9223255,0.6473261,0.9069048,0.48043847,-1.1890773,-0.7143797,-0.1441076,-0.47194022,-0.37034625,0.09867341,-0.23436059,-0.8030783,-0.7665845,-0.86701924,-0.95993084,-0.7801759,-1.0722094,-1.0876405,-1.1812383,-1.256026,-1.086378,-1.2597768,-1.1542726,-1.1581055,-1.1991777,-1.3010767,-1.1811985,-1.1477941,-1.2311339,-1.4101398,-1.4832603,-1.4832603,-1.4832603,-1.4832603,-1.4832603
7,-1.0894159,1.212676,0.52060556,0.7185678,0.9144989,0.9002228,0.9228669,0.49533752,-0.20681038,-0.7705928,1.0753965,0.36938617,0.81557983,-0.727153,0.74253577,0.52279574,-0.6239679,-0.51950926,0.43763572,-0.22451955,-1.2625161,-0.6162569,-0.15297255,-0.8907441,-0.38746262,-0.82346284,-1.2901793,-0.7639081,-1.5351377,-0.65373117,-1.4116215,-1.4256957,-0.9475897,-1.7454395,-1.5370818,-1.7149554,-0.5959598,-1.5459514,-1.3186742,-2.1982265,0.91769916,1.9142798,-0.6867625,-0.45401356,-1.0437008,-1.3323481,-1.7333717,-0.47190997,-0.031431176,-0.65926576,-0.5597908,-0.91463006,-0.95232743,-0.31410462,-1.6565245,-1.0667641,0.9372531,-0.7788725,-1.5186255,-0.6292393,0.9101859,-0.9959321,-1.1902356,-0.8661551,-0.8989272,-1.1786777,-0.3034262,-1.2064124,-0.31859353,-1.346885,-0.7334996,-1.2501915,-1.2682967,-0.8486618,-0.62283635,-1.1202487,-1.5253437,-0.5931468,-0.6235689,-0.76750576,1.0179145,1.0179145,1.0179145,1.0179145,1.0179145,-1.230735,-0.7489473,-0.8946829,-0.7629732,-0.86421686,-0.3971098,0.21634409,0.070193596,-0.4978398,-0.9101613,-0.5204157,-0.8796102,-0.5776594,-0.7955315,-0.59164,-0.14415067,-0.3318529,-0.6019533,-0.13778548,-0.15111262,-0.36401004,-0.49522576,-0.36532918,-0.3577034,-0.3919405,-0.40815073,-0.61415356,0.06769758,-0.0871938,0.356525,0.07548449,0.07548449,0.07548449,0.07548449,0.07548449,1.5017614,1.5017614,1.5017614,1.5017614,1.5017614,1.9301577,-0.18436606,0.18829735,0.053473894,-1.0578041,-0.7094493,0.03529975,-0.8524242,-0.7933755,-0.12706345,-0.40600732,-0.5719821,-1.0103984,-0.9130112,-1.0283628,-0.7683603,-1.088821,-1.1829368,-1.0156993,-1.1632717,-1.2618998,-1.3456591,-1.1284205,-1.1716298,-1.1593771,-1.3014507,-1.3352456,-1.3283156,-1.3468212,-1.4059087,-1.4130963,-1.4130963,-1.4130963,-1.4130963,-1.4130963
8,-1.4045419,1.2583727,0.7119797,0.7982459,0.99603546,0.811653,0.40340927,1.0700947,0.13517007,-0.781743,1.1834998,0.7405371,0.34712973,-0.7024232,0.50545144,0.26135257,0.35989982,-0.7217809,0.45222187,0.4046369,-1.4227816,-0.18125422,-0.25777316,-1.4669497,-0.22861664,-0.8478447,-0.91774035,-0.3576322,-1.1850038,-0.6559458,-1.3180784,-1.7420055,-1.5463223,-1.4518595,-2.0240207,-0.65365714,-1.2659208,-1.5849755,-1.9367568,-2.2434382,0.40410474,1.6985164,-1.3586435,0.49266398,-0.26837736,-1.5178198,-0.796368,-1.9485925,-1.061015,-0.24885508,-0.7996893,-0.9485509,-1.0913423,-0.65043235,-1.5825317,-1.0044875,-0.916237,-0.49687198,-1.370385,-0.58057255,0.9506343,-0.5873455,-1.3383036,-0.61291057,-1.2486902,-1.1474916,-0.76377016,-1.2730352,-0.6862265,-1.441663,-0.8144243,-1.1173179,-0.87882626,-1.3311901,-0.17119846,-1.4256558,-0.8722159,-0.83170694,-0.30431598,-0.70319015,1.3562211,1.3562211,1.3562211,1.3562211,1.3562211,-1.2787477,-0.8083742,-0.7372077,-0.75822157,-0.80921364,-0.5225877,-0.52491,0.066195406,-0.43024138,-0.87409127,-0.1717348,-0.48435244,-0.31355083,-0.6698309,-0.8981692,-0.6403075,-0.4645761,-0.7261866,-0.1954338,0.1757093,-0.19954465,-0.15300508,-0.24683818,-0.8386077,-0.72158784,-1.045563,-0.6587097,-0.08633116,-0.011973825,0.25240517,0.16080187,0.16080187,0.16080187,0.16080187,0.16080187,1.023883,1.023883,1.023883,1.023883,1.023883,1.9880116,0.08412111,0.76394564,-0.12058264,-1.5740281,-0.7452909,-0.6070524,-0.4921129,-0.56938404,-0.2850598,-0.6579719,-0.8095996,-1.0086249,-1.0063095,-0.8667067,-0.8941198,-0.97093546,-1.0845053,-1.1575167,-1.0018164,-1.089878,-1.2824695,-1.2682463,-1.3403932,-1.2264209,-1.1785972,-1.4152969,-1.2612184,-1.4284432,-1.3177084,-1.4778972,-1.4778972,-1.4778972,-1.4778972,-1.4778972
9,-1.0836301,1.0871204,0.38081133,0.5773829,0.7036724,0.6908062,0.23136078,0.58122784,-0.22375162,-0.8030506,1.2898597,0.41622987,0.08464286,-0.8816177,0.4489657,-0.051187932,-0.32165226,-0.4886685,0.33925915,0.005155202,-1.2777921,-0.12654673,-0.092099786,-1.3293595,-0.4266489,-1.0728269,-1.3891225,-0.71502155,-1.1158018,-0.988483,-1.5843183,-1.6396239,-1.7830027,-1.8055588,-2.1031318,-1.4200993,-0.9348015,-1.4673193,-1.7971333,-2.270774,-0.28853437,1.8268539,-1.0397371,-0.54475915,-0.2546743,-0.9995374,-0.6449952,-1.7974542,-0.7280122,-0.37466672,-0.43016583,-0.4089066,-1.2925472,-0.20454504,-1.072772,-1.3614268,-0.14136332,-0.648128,-1.2005088,-0.6900571,0.42067882,-0.5681679,-1.3694377,-0.48433745,-1.1706862,-0.957234,-0.42866352,-1.1945616,-0.5218822,-1.312427,-0.76471084,-1.0701897,-0.5381154,-1.1034399,-0.2278459,-0.95440817,-1.0810885,-0.9495316,-0.5447454,-0.6677664,1.0154548,1.0154548,1.0154548,1.0154548,1.0154548,-1.0962338,-0.48060894,-0.5327153,-0.567363,-0.69060326,-0.28312948,-0.31640536,-0.14871502,-0.55935633,-0.88248897,-0.10045845,-0.32334226,-0.111404195,-0.37841648,-0.48867708,-0.36479428,-0.5400655,-0.82849145,-0.39634013,-0.14447124,-0.49854752,-0.4124327,-0.24504286,-0.6984591,-0.63829273,-0.89410365,-0.86942476,-0.12907815,0.22560702,0.53344035,0.39885908,0.39885908,0.39885908,0.39885908,0.39885908,0.34227237,0.34227237,0.34227237,0.34227237,0.34227237,1.89538,-0.37855315,0.3160716,-0.009391661,-1.3421475,-0.71375626,-0.9074503,-0.63229734,-0.5967837,-0.27418637,-0.6677414,-0.87175834,-0.7291481,-0.80979115,-0.7906411,-0.6638521,-0.9331959,-1.0790141,-1.178983,-1.0890487,-1.0855972,-1.2707745,-1.1599044,-1.3044751,-1.1594093,-1.23067,-1.1478131,-1.0670968,-1.2680465,-1.3178366,-1.4940734,-1.4940734,-1.4940734,-1.4940734,-1.4940734
