,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,-1.1513784,0.32377243,0.53092533,0.638346,0.89573914,0.6666239,0.524236,1.0342624,-0.8759173,-0.4116408,1.0295818,-0.07902288,0.93094313,-0.7471253,0.7342297,0.3642473,-0.14313933,-0.5601502,0.262992,-0.2679239,-1.0817213,-0.29620546,-0.09816751,-1.7744538,-0.13647181,-0.8957787,-1.4801313,-0.7339879,-0.93710107,-0.700151,-0.84722656,-1.485431,-1.2510124,-1.4911301,-1.4533068,-1.6585541,-0.5265589,-1.2563375,-1.4043889,-1.3884287,0.61162525,1.9343368,-0.9350691,0.11792508,-0.55505943,-0.9001427,-1.3310008,-0.8528926,1.2190006,-0.98370576,-1.4788048,-0.02973326,0.06337589,-0.27338636,-0.9269712,-1.6176039,0.17301627,-0.8125378,-0.9552311,-1.5243286,0.48652214,-0.98556066,-1.6459012,-0.1795475,-1.2136433,-1.378185,0.10475173,-1.26634,-1.1406207,-1.3677584,-1.146454,-0.81875557,-0.8985844,-0.978988,-0.6039694,-0.9254886,-1.3044676,-1.0220015,-0.48064432,-1.4791323
1,-1.0572792,0.37249082,0.21353787,1.1752282,1.0056354,0.5795856,0.891717,0.6493811,-1.0146154,0.05511458,1.0395687,0.13553149,0.723146,-0.53373456,0.4918996,0.29678804,-0.29887778,-0.21983843,0.06384701,0.20015189,-1.0054425,-0.41519424,-0.08327282,-1.7464494,0.14690825,-1.1350092,-1.4905193,-0.29947868,-0.9909336,-0.6251737,-0.64190394,-1.6697308,-1.0604627,-1.6236191,-1.3670832,-1.1774114,-0.58254606,-1.7762628,-1.3097472,-1.719898,0.54522985,1.1916462,-1.1237488,-0.33554232,-0.6128958,-1.4226047,-1.2568024,-0.93314195,1.3357965,-1.0978823,-1.1463552,-0.2482555,-0.10839897,-0.34026697,-0.7295151,-0.99729764,0.26707712,-0.90129274,-0.55203193,-1.2132529,0.85687953,-0.9958836,-1.4445214,-0.063475095,-1.4045756,-1.1040598,0.4174472,-1.3099461,-0.96008706,-1.125072,-0.9132196,-0.6971297,-1.1464337,-0.8052391,-0.4625987,-0.9920565,-1.4439459,-0.603806,-0.8461513,-0.83392453
2,-1.0563169,0.58881825,0.47357145,0.7187937,0.63265824,0.7223985,0.72529477,0.5758532,-0.7289131,-0.6916862,1.0928195,0.061268188,1.0038788,-0.7616014,0.1612757,0.49276865,-0.32586557,-0.98602974,0.6189553,0.077839926,-0.89132214,-0.6037662,0.011822756,-1.3933531,-0.0037267718,-0.72047347,-1.1319052,-0.948299,-0.9607614,-0.8989344,-0.7444368,-1.5342758,-1.0105715,-1.3900925,-1.223719,-1.8556474,-0.5411399,-1.7932868,-1.4128258,-1.7547672,0.821065,1.6741834,-0.9402113,-0.43748719,-0.5661554,-0.7885005,-1.5262104,-0.53796273,1.2274462,-0.5891401,-0.811601,-0.7734321,0.20625158,-0.84419477,-0.64911366,-1.2212076,-0.37287542,-0.5725932,-1.3836616,-1.2541503,0.44428566,-0.9708415,-1.5301553,-0.67797846,-1.237561,-1.2061182,-0.29133278,-1.0472143,-1.0130702,-0.98503053,-1.3723401,-1.1781634,-1.0319871,-1.0403417,-0.75112224,-1.0846306,-1.4398289,-0.6156784,-0.72559536,-1.0765117
3,-0.97537106,0.46335056,0.64236176,0.6257767,0.8302352,1.0271068,0.8315935,0.18792838,-0.744877,-0.5674968,1.1210655,0.44642445,0.611452,-0.58513725,0.42644045,0.7624694,-0.27347764,-0.6201992,0.5635752,-0.17030622,-0.7432933,-0.84150565,0.20687217,-1.1570836,-0.31798378,-1.0219318,-1.190212,-0.7972327,-0.8380686,-0.6257863,-1.0335699,-1.5267209,-1.2727711,-1.7903047,-1.3545973,-1.5725267,-0.46615955,-1.4967821,-1.361566,-2.314989,0.47617137,1.0525395,-1.2222847,-0.18258907,-0.68803865,-1.4122435,-1.9875726,0.006620874,0.3757782,-0.913532,-1.1836972,-0.91540885,-0.88238287,-0.7149815,-0.7499444,-0.8144587,0.31690738,-0.8480962,-1.5169717,-0.6844382,-0.07214626,-0.8497072,-1.7471955,-0.6648946,-1.0382525,-1.1321672,0.30398116,-0.9953182,-0.58533573,-1.3427615,-0.6923434,-0.933693,-0.44677082,-0.8192664,-0.88473684,-1.2065648,-1.3015662,-1.0608528,-0.4755091,-0.53160304
4,-1.3626727,0.7732671,0.68357646,0.9783323,0.9168546,0.8843594,0.54335773,0.9133028,-0.54981023,-0.83874387,1.0342939,-0.023820411,0.5473859,-0.6099362,0.44960475,0.5567272,-0.6522094,-0.14447871,0.16961935,-0.36928123,-0.7595364,-0.5451833,-0.2845139,-1.5469279,-0.15908645,-1.0913804,-1.5384878,-0.3141073,-1.2218878,-0.6058256,-0.79320776,-1.2383846,-0.91106683,-1.6537778,-0.78474253,-1.1415367,-0.8439292,-1.2580537,-1.5889152,-2.0076923,0.31683365,1.3534858,-0.8363152,0.10245008,-0.33739492,-1.3682799,-0.7855659,-1.5428952,0.1788321,-0.82886374,-0.34657702,-0.41610065,-0.7449225,-0.4421418,-1.23474,-0.96443653,0.85652715,-0.71642905,-1.4866413,-0.48884967,-0.13306536,-0.5918752,-0.98075294,-0.6633728,-1.5369382,-1.230258,-0.18375517,-1.1133217,-0.3413491,-1.0802778,-1.1037658,-1.2194675,-1.2232342,-0.80206025,-1.217321,-1.0232998,-1.281037,-1.2723271,-0.6591183,-0.5587826
5,-1.2315146,1.0779486,0.5763425,0.45086437,1.0929964,0.7205928,0.30459872,0.72849625,-0.3137858,-0.85371387,1.1304275,0.10488549,0.3639813,-0.70152634,0.08901976,0.37933525,-0.4598542,-0.601862,0.37589595,-0.3325195,-0.7440557,-0.65661895,-0.17950772,-1.5817024,-0.18322921,-1.0879418,-1.2363422,-0.6762775,-1.0643599,-0.60806066,-1.1917222,-1.6226852,-1.3629646,-2.0459745,-1.4765007,-1.3939815,-0.9643777,-1.9534352,-1.691028,-2.676548,-0.1903367,1.8323774,-0.8621381,-0.27771056,-0.40811694,-1.7374296,-0.86014867,-1.7446948,-0.26588595,-0.55947626,-1.2558569,-0.37252086,-0.7725892,-0.48855516,-1.2800987,-0.6214405,0.8323652,-0.62394464,-1.8927374,-0.79972,-0.055790663,-0.56991905,-0.98517525,-0.544658,-1.4513346,-1.3821247,-0.681792,-1.3293061,-0.8627463,-1.2343954,-0.8566837,-1.0745422,-0.8304845,-0.89008904,-0.7671986,-1.4639966,-1.3297434,-0.7651225,-0.7192431,-0.06926642
6,-1.0913515,0.9677459,0.472484,0.72126156,0.5933882,1.06426,0.71494806,0.6181757,-0.46088848,-0.8049358,1.3398405,0.36996546,0.64203197,-0.8820234,1.0311923,0.2854488,-0.90434563,-0.7349338,0.53440857,-0.3005976,-1.1880921,-0.62152976,-0.19499855,-1.1997052,-0.33016983,-0.9127751,-1.7082577,-0.40858915,-1.5458087,-0.6977311,-1.2827091,-1.3375589,-1.0862169,-1.8274647,-1.7595376,-1.8155252,-0.9766629,-1.4958591,-2.0221813,-1.9865063,1.0389717,2.2027035,-0.18282032,-0.048584726,-0.27379692,-0.5512013,-1.7585477,-0.5720497,0.47287658,-0.35354933,-0.1884371,-0.6920712,-0.7935347,0.05503595,-1.5872496,-1.2076699,0.65480745,-0.8852621,-1.737074,-0.3517778,0.4425338,-0.9295925,-1.3993713,-0.8489446,-0.8295841,-1.1973699,0.04739228,-1.2421554,-0.23999648,-1.4020102,-0.9032382,-0.9322772,-0.98469794,-0.6063529,-0.25336865,-0.86333126,-0.86375827,-1.0498915,-0.043168344,-0.8246398
7,-1.0894159,1.212676,0.52060556,0.7185678,0.9144989,0.9002228,0.9228669,0.49533752,-0.20681038,-0.7705928,1.0753965,0.36938617,0.81557983,-0.727153,0.74253577,0.52279574,-0.6239679,-0.51950926,0.43763572,-0.22451955,-1.2625161,-0.6162569,-0.15297255,-0.8907441,-0.38746262,-0.82346284,-1.2901793,-0.7639081,-1.5351377,-0.65373117,-1.4116215,-1.4256957,-0.9475897,-1.7454395,-1.5370818,-1.7149554,-0.5959598,-1.5459514,-1.3186742,-2.1982265,0.91769916,1.9142798,-0.6867625,-0.45401356,-1.0437008,-1.3323481,-1.7333717,-0.47190997,-0.031431176,-0.65926576,-0.5597908,-0.91463006,-0.95232743,-0.31410462,-1.6565245,-1.0667641,0.9372531,-0.7788725,-1.5186255,-0.6292393,0.9101859,-0.9959321,-1.1902356,-0.8661551,-0.8989272,-1.1786777,-0.3034262,-1.2064124,-0.31859353,-1.346885,-0.7334996,-1.2501915,-1.2682967,-0.8486618,-0.62283635,-1.1202487,-1.5253437,-0.5931468,-0.6235689,-0.76750576
8,-1.4045419,1.2583727,0.7119797,0.7982459,0.99603546,0.811653,0.40340927,1.0700947,0.13517007,-0.781743,1.1834998,0.7405371,0.34712973,-0.7024232,0.50545144,0.26135257,0.35989982,-0.7217809,0.45222187,0.4046369,-1.4227816,-0.18125422,-0.25777316,-1.4669497,-0.22861664,-0.8478447,-0.91774035,-0.3576322,-1.1850038,-0.6559458,-1.3180784,-1.7420055,-1.5463223,-1.4518595,-2.0240207,-0.65365714,-1.2659208,-1.5849755,-1.9367568,-2.2434382,0.40410474,1.6985164,-1.3586435,0.49266398,-0.26837736,-1.5178198,-0.796368,-1.9485925,-1.061015,-0.24885508,-0.7996893,-0.9485509,-1.0913423,-0.65043235,-1.5825317,-1.0044875,-0.916237,-0.49687198,-1.370385,-0.58057255,0.9506343,-0.5873455,-1.3383036,-0.61291057,-1.2486902,-1.1474916,-0.76377016,-1.2730352,-0.6862265,-1.441663,-0.8144243,-1.1173179,-0.87882626,-1.3311901,-0.17119846,-1.4256558,-0.8722159,-0.83170694,-0.30431598,-0.70319015
9,-1.0836301,1.0871204,0.38081133,0.5773829,0.7036724,0.6908062,0.23136078,0.58122784,-0.22375162,-0.8030506,1.2898597,0.41622987,0.08464286,-0.8816177,0.4489657,-0.051187932,-0.32165226,-0.4886685,0.33925915,0.005155202,-1.2777921,-0.12654673,-0.092099786,-1.3293595,-0.4266489,-1.0728269,-1.3891225,-0.71502155,-1.1158018,-0.988483,-1.5843183,-1.6396239,-1.7830027,-1.8055588,-2.1031318,-1.4200993,-0.9348015,-1.4673193,-1.7971333,-2.270774,-0.28853437,1.8268539,-1.0397371,-0.54475915,-0.2546743,-0.9995374,-0.6449952,-1.7974542,-0.7280122,-0.37466672,-0.43016583,-0.4089066,-1.2925472,-0.20454504,-1.072772,-1.3614268,-0.14136332,-0.648128,-1.2005088,-0.6900571,0.42067882,-0.5681679,-1.3694377,-0.48433745,-1.1706862,-0.957234,-0.42866352,-1.1945616,-0.5218822,-1.312427,-0.76471084,-1.0701897,-0.5381154,-1.1034399,-0.2278459,-0.95440817,-1.0810885,-0.9495316,-0.5447454,-0.6677664
10,-1.0981985,1.128103,0.6995746,0.57673603,0.4847086,1.5239978,0.16782856,0.706631,-0.23584646,-0.80108255,1.1253601,1.2234523,0.4148349,-0.7333707,1.0034332,0.111364886,-0.47798702,-0.35292935,0.031326234,0.100318514,-1.5879766,-0.19541064,0.155461,-1.5756034,-0.49851608,-0.4127447,-1.6432289,-0.17749283,-1.846981,-0.77456874,-1.7130984,-1.5062599,-1.2634038,-1.7502031,-1.812849,-1.0461141,-0.85192376,-1.9296591,-2.0721896,-1.9961374,0.88230926,2.055944,-1.067607,-0.19220519,-0.44281465,-1.1158652,-1.0686276,-0.31701088,-0.025025496,0.00045879724,-0.36338264,-1.0014141,-0.75490636,0.16474344,-1.1945508,-1.1418983,0.11841731,-0.36118954,-0.85565674,-0.74788314,0.96638626,-0.7890075,-1.6587079,-0.5304122,-1.1965672,-0.9046853,-0.3023373,-0.677442,-0.5720581,-1.185901,-0.42587754,-1.241878,-0.9585473,-0.89097875,-0.5059829,-0.8027206,-0.80430156,-0.75850785,-0.16884996,-0.547339
11,-0.98262024,0.91539496,0.050863035,0.9140071,0.63133365,1.1060594,0.21604893,0.09016146,-0.7330187,-0.5368859,1.5160635,0.66491216,0.17840068,-1.0847291,0.28376326,0.47109964,-0.5626379,-0.46692097,0.29589164,0.09620502,-1.4935446,-0.54910195,-0.025440762,-1.3200295,-0.18391323,-0.6277758,-1.3849791,-0.34250152,-1.229188,-1.0533979,-1.8501087,-1.8928066,-1.7184877,-1.683373,-1.8379841,-1.1148666,-0.8381682,-1.8853651,-1.9577259,-2.4962506,0.57653487,1.8688474,-0.44519433,-0.47872397,-0.66866016,-0.8710179,-0.6938591,-1.09303,-0.29192674,-0.52683765,-0.69008243,-0.75808746,-0.8740719,-0.42320335,-1.676194,-0.2278324,0.11424917,-0.21811867,-1.3843861,-0.37499097,0.6636478,-0.5547387,-1.667715,-0.59267473,-1.3833119,-1.0377531,-0.4464172,-1.0341755,-0.5818253,-1.1279093,-0.5992682,-0.94538087,-0.7741572,-0.92387855,-0.3017664,-1.1699897,-1.0080605,-0.34261587,-0.32104668,-0.60585916
