,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,emotion
38,-393.49442,67.1319,17.87888,27.266964,3.593044,4.8483315,-2.4584692,-13.082308,4.5661054,-7.800319,-6.9291577,0.95680976,-8.861373,9.402456,-10.652523,-3.0075858,1.1304636,-3.1704478,-6.9017563,-4.0742836,-7.461595,-8.377846,-8.464955,-1.6701742,-3.4955816,6.472,4.52708,2.8300745,-0.87450105,-1.1725729,-4.8939877,10.295454,7.844805,12.634688,7.1924386,4.329082,3.9330363,4.1032224,6.708464,7.3054357,sad
2003,-457.82,88.138435,19.95357,-2.2625165,8.857628,10.219079,-7.884429,3.8116417,-15.124985,-4.4558253,-2.0610087,-6.749439,-1.8838514,-4.0159326,-5.580332,-0.14374179,-5.678233,6.1681333,-2.8000805,-1.3548862,2.5914683,-5.6450844,-3.5231168,-1.1918912,-5.999696,4.30965,-5.146395,2.2124853,-3.6598425,2.9614146,2.5042462,3.4184575,2.7432487,4.5994124,4.5082045,7.2461514,8.294083,11.554999,11.593089,13.419223,disgust
1454,-511.1616,49.952698,22.006521,7.3661723,10.014528,18.354456,-5.5121655,-16.306757,-15.804434,7.702469,-4.768137,2.057029,-1.791625,7.7662587,9.525496,0.56884736,-2.7161589,11.436115,-0.7294403,0.16182439,3.815273,3.7030306,-4.249367,2.0296059,-3.188689,-0.97580105,-4.1876087,2.0868068,-0.6588409,3.3740332,-3.9076967,-2.1094027,-4.8985705,-2.184972,1.0900741,9.095954,15.419742,24.011585,23.616526,22.098501,neutral
214,-377.7866,42.761684,0.657564,37.506187,3.6709278,-12.128281,-8.561009,-16.336258,-6.645587,-1.2734067,-16.705711,13.733394,-7.80346,5.208317,2.6051364,-7.7578955,3.652403,-2.4166558,-11.631719,5.1697283,-7.250856,-3.4218438,-6.294311,-4.4300356,-5.6254473,-1.3485849,-4.818904,0.20211373,-7.4595656,-1.8863859,-12.957443,-4.1653733,-0.95289373,13.487305,23.567532,34.793533,33.227634,21.392962,6.818074,-0.84180605,neutral
366,-420.49918,90.97143,10.82694,9.523824,-6.2950983,7.0293064,-2.1968143,-21.295773,4.1735754,-4.176116,-8.501242,11.043479,-9.892243,9.660678,-9.074909,0.03482077,-1.6068866,-4.5488524,-7.158418,-2.7680342,-3.8557854,-6.58048,-4.4024887,-0.4905439,-7.235599,2.5676425,-4.801742,-0.19680871,-5.2076025,-3.8073947,-10.212126,-2.9834094,-3.5999947,10.699238,19.521534,32.771854,28.318123,21.883118,5.247165,-1.335849,neutral
1765,-416.63382,48.313183,-2.7263658,-1.9194441,-0.051793322,0.26086816,-18.813738,-3.1576161,-19.236237,-3.827091,-9.023324,4.4919314,-6.641705,4.518963,2.9773507,1.4055878,-0.5328058,-3.5235639,-3.5078585,-8.240808,-2.4874372,7.457547,10.297266,30.260666,29.549791,27.148207,13.026992,6.176063,-2.4056184,4.4655333,4.9403076,10.294906,4.657095,-2.87996,0.0042883228,6.8531027,4.595542,-0.17511117,-6.1429543,-0.4457037,angry
799,-443.35904,76.56603,15.231382,-11.40348,-7.486145,1.8193644,-5.02949,-0.1711191,-11.216814,-3.1579509,-9.739346,-7.5739627,-2.4455717,-2.9943008,1.7031257,1.9982034,-4.463505,13.808545,0.20675169,0.34494618,2.7223108,0.21779397,-1.591707,4.7100687,-2.176641,2.1310463,0.7222208,8.272744,0.7608252,7.25828,2.533235,3.4979885,4.479097,4.3611646,3.610901,8.294758,6.0214534,10.115682,7.8103867,11.197444,happy
1183,-348.51495,35.539936,-7.2733817,-6.475179,-16.195774,-9.33203,-17.269629,-9.390344,-13.924634,5.860991,-5.6490273,5.71177,5.0106697,3.9247534,-4.1607647,2.6594765,0.209374,2.965454,-2.6750073,-2.523004,-2.4954286,5.641504,2.7305956,1.0408347,-1.2537044,-0.8087351,-1.0282837,0.34508315,2.8799264,5.8770676,6.417429,12.663228,6.4471927,7.7200956,3.1698003,4.3154798,3.4290068,5.7588696,4.102864,1.3475295,surprised
2795,-421.39346,88.017395,23.454868,-8.334499,0.7525447,0.005694378,-6.9837556,3.6728852,-22.514235,-7.6818776,-15.0889,-14.24096,-3.855157,-1.0291575,-5.686532,-0.23984289,-5.516238,10.169095,0.9914078,1.4669412,3.699143,2.7511945,-2.4505782,3.4442384,-2.2206233,2.7809627,-1.9916068,5.961548,-1.3844694,4.2757945,-0.84686095,1.56011,-0.7405997,1.6054137,6.2373285,11.696818,13.3616495,18.493464,13.351994,15.082002,surprised
2267,-402.20178,44.07098,20.66027,-9.641271,-14.026061,2.2655354,-13.277043,-0.21330272,-14.940028,1.9709765,-15.517627,-7.436343,-5.7699447,3.326521,-1.3869776,-2.1102679,-4.2157407,4.592594,1.8119295,-4.1199846,2.1725354,9.196045,4.214338,27.03348,20.868301,26.86298,20.890345,11.690841,-5.7245274,0.9898806,-3.1761923,6.6287723,3.7380075,-1.9894732,-3.104342,0.9510283,2.089645,3.2077465,-3.4624777,-1.0765165,fear
