,actor,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,emotion
0,22,-557.1884,40.043224,-13.310613,-3.9836395,-4.212637,-6.4523616,-14.161658,-14.057115,-16.064396,0.6148527,-6.673969,-12.350893,0.91767883,-3.94929,3.0765064,-3.082331,-3.6572924,-0.90212834,-3.6611598,-1.9483176,-1.291946,-1.8772635,-3.3042579,0.84289885,-1.7485911,1.5394077,-0.93536526,1.3979036,0.3441671,6.306628,4.5998807,4.0004416,2.3880522,3.6603386,-0.4658301,1.30685,0.9603006,1.6109494,0.16387147,2.0324974,surprised
1,22,-637.4518,44.204132,-4.024809,-0.32443056,0.36266634,-6.112728,-10.918943,-11.571305,-11.5622835,-0.6315659,-5.3879657,-8.156668,-2.1418748,-5.1128798,-0.27697316,-8.122984,-4.7891116,-2.0993626,-6.059927,-3.45448,-4.8919296,-2.7124977,-5.6622677,-1.328982,-3.9733706,-1.4278022,-1.6533557,5.2089453,3.4015353,8.994679,6.4581485,4.378252,0.20146437,3.2220192,0.38314724,4.3486953,2.4408624,3.8926067,1.143316,3.9766526,happy
2,22,-685.6952,59.49444,-7.369575,2.7693167,0.5752315,1.9736768,-5.2512774,-10.86035,-10.272999,0.81215984,-1.5742992,-9.098583,-1.9850137,-1.3131436,-0.19050537,-7.453307,-2.1682227,-2.9646654,-4.606777,-3.704302,-4.5719395,-0.4862408,-4.069558,-0.16894682,-4.675256,-1.2239965,-2.159597,1.2060084,0.3117779,5.3877015,2.43751,5.6448293,1.2630883,6.0418415,4.0474873,4.603179,2.8035278,3.8976347,-1.0239087,3.1809773,calm
3,22,-496.13885,27.612677,-6.020208,-7.9171457,-2.5657759,-8.113092,-14.132929,-13.038235,-16.511257,-1.6814694,-9.784536,-12.2597,-4.693559,-7.424831,-5.271088,-9.703876,-5.815871,-2.032492,-1.744292,3.337525,2.973965,4.3763933,-0.6140129,4.7181425,1.1061487,1.7952232,-0.2758454,0.41930234,-3.8456523,3.2191112,0.035532635,-1.5595158,-3.1122043,-0.49902257,-0.5763176,5.2297587,2.7110302,2.4072382,-0.40340889,3.5820835,happy
4,22,-536.52545,24.849909,-13.7808485,-5.726333,-3.5046906,-7.594935,-13.912262,-9.721022,-13.198851,-0.7509428,-5.811396,-11.489007,-5.003316,-10.656894,-3.6426902,-5.861108,-1.5551939,3.219538,-0.7629309,-1.4655244,0.47331384,0.852525,0.52264535,7.546956,3.3981373,3.6422477,-0.55810195,1.3013473,-1.5407702,3.7039998,2.3078754,1.4825264,-0.70006406,1.176922,-0.019219952,3.1245906,1.0621073,-0.8736085,-1.1328259,1.7219942,surprised
5,22,-630.66797,56.892548,-8.458186,1.2428772,4.34737,-4.839708,-9.982683,-11.162387,-10.443463,-1.7770425,-5.896138,-8.8251,-2.0465624,-6.064302,-1.1710978,-7.6189075,-4.3708,-2.3861232,-6.843277,-4.2004085,-5.18495,-4.3943152,-4.324844,0.9131895,-4.793994,0.8279381,-2.227135,1.5821817,-2.0508537,2.8340607,1.6327634,3.3767695,2.8759813,5.609862,4.5776896,4.9991283,4.6381865,2.9343328,-0.0043159435,4.239302,happy
6,22,-594.06665,49.88217,-12.720543,1.1680831,1.0331984,-6.0607443,-10.7249975,-11.246525,-12.283996,0.9958752,-3.108933,-10.028454,1.4752488,-7.227148,-0.13960885,-6.014619,-7.7904444,-0.9543764,-5.053369,-3.9137833,-3.8250015,-2.693081,-4.5821986,-1.062651,-4.862328,-2.0919545,-5.444067,-0.8087079,-1.7049824,-0.047019225,-0.75987023,-0.6149524,-3.1742182,-0.049409796,0.71574956,3.0920146,4.2188845,7.321483,5.3081493,9.462648,disgust
7,22,-433.71054,23.460344,-14.926403,-2.214859,-6.271779,-12.586202,-8.922879,-12.805514,-17.063448,-2.9585314,-7.0008793,-9.483854,-3.4631035,-8.134555,-2.581294,-8.070161,-9.419676,-2.4697804,-11.590111,-3.002923,-4.247851,-1.8281575,-3.8666658,2.4780598,2.287356,5.228845,4.33531,4.561018,3.295814,4.044313,2.5954394,1.7151808,-2.6677718,0.5011783,-1.7332202,1.1613806,1.1294763,-0.06679987,-2.8129883,0.31859574,angry
8,22,-635.30225,41.70779,-3.4277465,-0.0563508,1.9382597,-2.26956,-11.085616,-13.622803,-15.454366,-2.4502592,-5.056865,-10.3162365,-1.8708566,-5.2838416,-0.41530874,-5.30998,-5.1732593,-0.907269,-5.2636566,-3.5002255,-6.2847033,-2.5870028,-5.473872,-1.8700392,-5.998746,-2.012125,-4.7748795,1.523639,0.79315865,7.4650583,8.9555025,9.715651,8.712881,10.796609,9.082943,7.9439983,4.436742,3.4216738,-1.6040509,0.24913242,sad
9,22,-687.8916,52.303005,1.6305006,0.83848375,4.3230224,-1.8077902,-8.304306,-10.773336,-9.619625,-0.31132668,-1.8227679,-8.277742,-1.6907357,-1.1215171,0.41629654,-7.165968,-0.59557056,-3.4090638,-4.5620017,-4.20042,-4.1683908,-3.3790016,-4.9405117,-1.3827574,-3.2870905,-1.4104506,-1.4969083,2.3022008,1.1482288,4.0809436,2.3860033,2.7335994,1.0920581,5.080412,3.208914,3.7568555,1.3771563,2.4244094,-0.3558068,4.4196115,neutral
