,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,emotion
28,-547.30493,44.200382,-7.6982584,14.314753,-3.0644512,-1.1540544,-5.9336405,0.13776587,-14.025714,-3.238969,-2.3625994,-3.2984624,-2.1394062,-3.222594,-4.6245327,-0.5037563,-7.434186,-0.67915726,-5.0865498,-2.2647123,-6.3407617,-1.5900791,-5.240487,-3.1460137,-4.154016,-0.49832958,-5.61134,1.916403,-2.8710856,-0.26728296,-0.48992252,0.055748947,-2.5624216,-1.3701502,-2.7724924,0.2257479,-1.5955628,-0.20851739,-3.7480009,-1.168262,angry
1085,-745.72955,74.93594,21.956066,28.514643,12.948763,15.499494,-1.4848348,2.6401343,-6.06938,6.106119,1.805784,2.722619,-0.84659064,4.0453897,-2.4333558,6.5414853,-3.5932894,2.8177767,-0.20959453,3.2973225,-3.9132426,3.1017568,-4.3335605,-0.6229596,-0.73338336,1.4055927,0.32615614,1.9460796,-1.7596942,0.5327039,-1.0797176,-0.6770006,0.23990501,2.0811284,-1.2416674,1.5524038,-3.2925785,0.082589686,-0.19304743,1.715382,calm
1262,-689.6297,54.763126,-0.8227826,3.2801857,1.8973175,0.5973235,-10.684502,-8.422439,-11.937144,1.9687989,-4.061712,-6.0837393,-3.8364947,0.9727014,-1.6234063,-5.183611,-2.5182316,-1.5484835,-6.3585243,-2.4696436,-5.8319664,-1.7838001,-6.466419,0.073109575,-4.672671,-0.0952885,-2.7416203,3.4768758,0.042905368,5.1175027,1.4170129,3.636212,0.25456795,5.854425,2.496666,4.409109,0.78286254,2.9627736,-0.8403962,4.852697,neutral
929,-485.29358,38.815453,-6.139562,6.403797,-7.5333924,-6.981079,-5.6509595,-7.396293,-12.891734,3.142912,-9.159488,-3.7484837,-1.1268446,-3.580915,-3.744629,-3.4281425,-2.8696332,-2.4488392,-6.3923206,-2.895502,-4.382924,-2.3882291,-2.8736227,2.6584258,-1.7891163,4.0471525,0.26677233,2.9076355,2.0253108,4.531303,3.474177,4.034816,0.49084103,2.1480258,-0.3326886,2.1805418,1.0804665,1.3043123,-0.50851303,2.0734706,angry
1428,-609.86206,55.874176,-12.270983,0.79762864,-19.799803,-6.3212767,-13.306941,-14.632302,-11.185981,1.2814165,-10.475287,0.22633366,-4.96856,-3.4973135,-1.0651647,-3.262904,-5.06675,-1.3064252,-5.8644133,-1.7462128,-3.8680687,-2.0665772,-3.6357996,-0.522551,-3.3190386,1.133182,-2.1572723,0.39897463,-2.211806,-1.6956131,-1.3796204,-0.21264485,-2.0355961,0.19781753,-0.9498265,-0.08126042,-0.30122805,0.14831233,-1.30509,-0.7758895,disgust
924,-611.12665,56.420795,-15.217594,12.722489,-1.8129331,-10.315139,-21.058937,-15.765786,-7.387862,0.76191455,-14.53264,-2.351071,1.8475053,-7.8472686,-6.081066,-1.3738291,-8.0625725,-1.8800814,-8.968372,-4.6988287,-4.736449,-4.70451,-4.383555,-2.0151842,-4.970569,0.88094324,-2.2049806,0.50151527,-0.53674364,2.996514,1.4568744,4.435669,1.2335352,3.5726323,-0.70591587,2.0584724,-0.06806187,1.449945,1.3251289,3.052453,sad
933,-426.69788,30.02752,-20.288696,4.2129674,-12.470521,-10.930067,-6.3621235,-12.002276,-13.903249,5.385052,-10.536069,-3.102585,-3.1905298,-5.702059,-4.9979887,-2.4576344,2.0521634,1.9035773,-2.5379522,3.3601468,1.0533144,3.6635609,3.3000689,3.7324297,-1.538334,3.7184627,-0.46419036,2.5207782,-3.3510323,1.157926,0.96618474,1.5286452,-1.3801976,-0.75115347,-2.0757275,2.647213,0.23209932,1.9266583,0.3721001,1.7871147,angry
1168,-719.8731,36.80126,-3.6302001,5.970773,-5.828774,-2.1250846,-6.773428,-9.715608,-7.3499217,-6.300995,-4.1918454,-2.4966645,-8.160654,-0.6502723,-7.423907,-2.5665655,-6.8660808,-2.0395977,-5.714803,-2.783755,-4.868894,-1.684504,-5.067404,-0.81482077,-2.8183022,0.07654577,-1.7462705,-1.5237471,-4.255728,0.12957636,-1.1687979,3.6132102,1.6340655,4.2074647,2.7151382,3.9131527,1.9542513,2.9295428,1.9095808,3.5542905,angry
1331,-653.3986,61.53147,-1.3232704,10.847379,8.491752,1.2875454,-4.0915895,-3.4591107,-9.67547,-1.8911662,1.1939517,-4.9972258,-6.0116816,-0.37290782,-4.5314355,0.8262084,-8.967729,0.41712487,-4.840297,-1.6250609,-4.6966076,-2.3933356,-4.3186955,-1.9336284,-6.025864,-0.4811279,-5.8537955,-1.2145909,-2.9613485,-0.38903132,-3.4068801,-0.17588492,-5.0767,-2.3853385,-3.6952438,0.035177242,-0.3962706,0.79961437,-0.837777,-1.0604243,calm
287,-663.95544,50.525257,9.396915,13.248067,0.47751233,1.2778586,0.13320525,-3.6817646,-4.080288,2.2735515,2.3710897,2.2160447,-1.9605546,0.9316138,0.3234374,2.2715857,-2.9938123,1.7341385,-1.9297065,3.4839952,-3.3816478,0.60131663,-3.6380315,0.21908739,-3.635319,5.263915,-2.8211784,1.8601097,0.6120986,2.335069,-0.83352983,0.81562304,-0.5588418,0.9533771,-0.22186075,0.94776547,-1.615048,-1.500637,-2.2441227,1.524558,disgust
